Voltage ; Angle ; Time ; Step
Voltage Value: -12.000000 ; Angle Value: 109.398911 ; Time Value Ms: 3800.000000; Step: 80 
Voltage Value: -12.000000 ; Angle Value: 106.557381 ; Time Value Ms: 3805.000000; Step: 80 
Voltage Value: -12.000000 ; Angle Value: 125.245903 ; Time Value Ms: 3810.000000; Step: 81 
Voltage Value: -12.000000 ; Angle Value: 101.967216 ; Time Value Ms: 3815.000000; Step: 81 
Voltage Value: -12.000000 ; Angle Value: 103.715843 ; Time Value Ms: 3820.000000; Step: 82 
Voltage Value: -12.000000 ; Angle Value: 122.185791 ; Time Value Ms: 3825.000000; Step: 82 
Voltage Value: -12.000000 ; Angle Value: 121.967216 ; Time Value Ms: 3830.000000; Step: 83 
Voltage Value: -12.000000 ; Angle Value: 119.672134 ; Time Value Ms: 3835.000000; Step: 83 
Voltage Value: -12.000000 ; Angle Value: 124.480873 ; Time Value Ms: 3840.000000; Step: 84 
Voltage Value: -12.000000 ; Angle Value: 107.322403 ; Time Value Ms: 3845.000000; Step: 84 
Voltage Value: -12.000000 ; Angle Value: 125.136612 ; Time Value Ms: 3850.000000; Step: 85 
Voltage Value: -12.000000 ; Angle Value: 109.617485 ; Time Value Ms: 3855.000000; Step: 85 
Voltage Value: -12.000000 ; Angle Value: 124.371582 ; Time Value Ms: 3860.000000; Step: 86 
Voltage Value: -12.000000 ; Angle Value: 121.420769 ; Time Value Ms: 3865.000000; Step: 86 
Voltage Value: -12.000000 ; Angle Value: 113.005463 ; Time Value Ms: 3870.000000; Step: 87 
Voltage Value: -12.000000 ; Angle Value: 133.770493 ; Time Value Ms: 3875.000000; Step: 87 
Voltage Value: -12.000000 ; Angle Value: 127.431694 ; Time Value Ms: 3880.000000; Step: 88 
Voltage Value: -12.000000 ; Angle Value: 113.333336 ; Time Value Ms: 3885.000000; Step: 88 
Voltage Value: -12.000000 ; Angle Value: 120.655739 ; Time Value Ms: 3890.000000; Step: 89 
Voltage Value: -12.000000 ; Angle Value: 135.409836 ; Time Value Ms: 3895.000000; Step: 89 
Voltage Value: -6.000000 ; Angle Value: 129.726776 ; Time Value Ms: 3900.000000; Step: 90 
Voltage Value: -6.000000 ; Angle Value: 118.032784 ; Time Value Ms: 3905.000000; Step: 90 
Voltage Value: -5.700000 ; Angle Value: 121.967216 ; Time Value Ms: 3910.000000; Step: 91 
Voltage Value: -5.700000 ; Angle Value: 138.360657 ; Time Value Ms: 3915.000000; Step: 91 
Voltage Value: -5.400000 ; Angle Value: 116.939888 ; Time Value Ms: 3920.000000; Step: 92 
Voltage Value: -5.400000 ; Angle Value: 141.420761 ; Time Value Ms: 3925.000000; Step: 92 
Voltage Value: -5.100000 ; Angle Value: 125.792351 ; Time Value Ms: 3930.000000; Step: 93 
Voltage Value: -5.100000 ; Angle Value: 137.049179 ; Time Value Ms: 3935.000000; Step: 93 
Voltage Value: -4.800000 ; Angle Value: 117.595627 ; Time Value Ms: 3940.000000; Step: 94 
Voltage Value: -4.800000 ; Angle Value: 134.863388 ; Time Value Ms: 3945.000000; Step: 94 
Voltage Value: -4.500000 ; Angle Value: 130.601089 ; Time Value Ms: 3950.000000; Step: 95 
Voltage Value: -4.500000 ; Angle Value: 128.087433 ; Time Value Ms: 3955.000000; Step: 95 
Voltage Value: -4.200000 ; Angle Value: 118.579231 ; Time Value Ms: 3960.000000; Step: 96 
Voltage Value: -4.200000 ; Angle Value: 141.092896 ; Time Value Ms: 3965.000000; Step: 96 
Voltage Value: -3.900000 ; Angle Value: 122.295082 ; Time Value Ms: 3970.000000; Step: 97 
Voltage Value: -3.900000 ; Angle Value: 116.502731 ; Time Value Ms: 3975.000000; Step: 97 
Voltage Value: -3.600000 ; Angle Value: 138.360657 ; Time Value Ms: 3980.000000; Step: 98 
Voltage Value: -3.600000 ; Angle Value: 138.360657 ; Time Value Ms: 3985.000000; Step: 98 
Voltage Value: -3.300000 ; Angle Value: 129.508194 ; Time Value Ms: 3990.000000; Step: 99 
Voltage Value: -3.300000 ; Angle Value: 120.655739 ; Time Value Ms: 3995.000000; Step: 99 
Voltage Value: 0.000000 ; Angle Value: 122.622948 ; Time Value Ms: 4000.000000; Step: 0 
Voltage Value: 0.000000 ; Angle Value: 141.530060 ; Time Value Ms: 4005.000000; Step: 0 
Voltage Value: 0.000000 ; Angle Value: 127.759560 ; Time Value Ms: 4010.000000; Step: 1 
Voltage Value: 0.000000 ; Angle Value: 138.907104 ; Time Value Ms: 4015.000000; Step: 1 
Voltage Value: 0.000000 ; Angle Value: 143.497269 ; Time Value Ms: 4020.000000; Step: 2 
Voltage Value: 0.000000 ; Angle Value: 141.202179 ; Time Value Ms: 4025.000000; Step: 2 
Voltage Value: 0.000000 ; Angle Value: 127.213112 ; Time Value Ms: 4030.000000; Step: 3 
Voltage Value: 0.000000 ; Angle Value: 143.606552 ; Time Value Ms: 4035.000000; Step: 3 
Voltage Value: 0.000000 ; Angle Value: 131.475403 ; Time Value Ms: 4040.000000; Step: 4 
Voltage Value: 0.000000 ; Angle Value: 129.508194 ; Time Value Ms: 4045.000000; Step: 4 
Voltage Value: 0.000000 ; Angle Value: 133.551910 ; Time Value Ms: 4050.000000; Step: 5 
Voltage Value: 0.000000 ; Angle Value: 119.781418 ; Time Value Ms: 4055.000000; Step: 5 
Voltage Value: 0.000000 ; Angle Value: 125.355194 ; Time Value Ms: 4060.000000; Step: 6 
Voltage Value: 0.000000 ; Angle Value: 133.989075 ; Time Value Ms: 4065.000000; Step: 6 
Voltage Value: 0.000000 ; Angle Value: 145.355194 ; Time Value Ms: 4070.000000; Step: 7 
Voltage Value: 0.000000 ; Angle Value: 120.983604 ; Time Value Ms: 4075.000000; Step: 7 
Voltage Value: 0.000000 ; Angle Value: 137.923492 ; Time Value Ms: 4080.000000; Step: 8 
Voltage Value: 0.000000 ; Angle Value: 144.480881 ; Time Value Ms: 4085.000000; Step: 8 
Voltage Value: 0.000000 ; Angle Value: 123.825134 ; Time Value Ms: 4090.000000; Step: 9 
Voltage Value: 0.000000 ; Angle Value: 140.983612 ; Time Value Ms: 4095.000000; Step: 9 
Voltage Value: 3.000000 ; Angle Value: 138.360657 ; Time Value Ms: 4100.000000; Step: 10 
Voltage Value: 3.000000 ; Angle Value: 128.743164 ; Time Value Ms: 4105.000000; Step: 10 
Voltage Value: 3.300000 ; Angle Value: 128.087433 ; Time Value Ms: 4110.000000; Step: 11 
Voltage Value: 3.300000 ; Angle Value: 131.366119 ; Time Value Ms: 4115.000000; Step: 11 
Voltage Value: 3.600000 ; Angle Value: 139.344269 ; Time Value Ms: 4120.000000; Step: 12 
Voltage Value: 3.600000 ; Angle Value: 119.344261 ; Time Value Ms: 4125.000000; Step: 12 
Voltage Value: 3.900000 ; Angle Value: 123.825134 ; Time Value Ms: 4130.000000; Step: 13 
Voltage Value: 3.900000 ; Angle Value: 120.655739 ; Time Value Ms: 4135.000000; Step: 13 
Voltage Value: 4.200000 ; Angle Value: 136.612015 ; Time Value Ms: 4140.000000; Step: 14 
Voltage Value: 4.200000 ; Angle Value: 118.579231 ; Time Value Ms: 4145.000000; Step: 14 
Voltage Value: 4.500000 ; Angle Value: 129.508194 ; Time Value Ms: 4150.000000; Step: 15 
Voltage Value: 4.500000 ; Angle Value: 123.825134 ; Time Value Ms: 4155.000000; Step: 15 
Voltage Value: 4.800000 ; Angle Value: 125.901642 ; Time Value Ms: 4160.000000; Step: 16 
Voltage Value: 4.800000 ; Angle Value: 123.825134 ; Time Value Ms: 4165.000000; Step: 16 
